,meanResultantLength,ratio_end_to_length,maxDevSigned,a80,acc_first5pct_median,v80,a20,speed,v50,duration,length,v20,endY,displacement,v_last3_median,dev80,startY,a50,endX,startX,dev20,dev50,avgDirection,direction,svm_accuracy,xgb_accuracy,svm_tpr,svm_fpr,xgb_tpr,xgb_fpr
"(2, 'rotation_and_match_disturbance')",0.548463268365817,0.5871626686656671,0.767616191904048,0.5699400299850075,0.5305847076461769,0.6001686656671664,0.7458395802098952,0.6426536731634183,0.5916979010494753,0.6744565217391305,0.7748500749625188,0.600599700149925,0.5247844827586208,0.7442466266866566,0.555359820089955,0.7113474512743627,0.5091547976011994,0.711656671664168,0.5534482758620689,0.5055940779610194,0.6246720389805097,0.6583020989505248,0.6138680659670164,0.6355228635682157,0.9364161849710982,0.976878612716763,0.6857142857142857,0.0,0.8857142857142857,0.0
"(2, 'b_spline_disturbance')",0.6744752623688156,0.5915104947526237,0.9204835082458771,0.7772113943028486,0.873931784107946,0.8556034482758621,0.7818778110944528,0.7387368815592203,0.739411544227886,0.644059220389805,0.742147676161919,0.5825337331334333,0.516257496251874,0.7044977511244378,0.5374812593703148,0.6514430284857571,0.5091079460269865,0.6455397301349326,0.547863568215892,0.5049756371814094,0.5466547976011994,0.6030828335832084,0.5509182908545728,0.5623219640179911,0.953757225433526,0.976878612716763,0.7714285714285715,0.0,0.9142857142857143,0.007246376811594203
"(3, 'RAW')",0.9987017084061347,0.9987017084061348,0.9966511357018055,0.8481241506503592,0.8534143855562026,0.8719059405940595,0.8382595612502426,0.7478887594641817,0.7511162880993982,0.6779994175888177,0.6349131236653077,0.5656183265385362,0.6226582217045233,0.5894365171811299,0.5196442438361484,0.6644280236847214,0.6232649000194137,0.679916521063871,0.568700252378179,0.5346534653465346,0.5607284993205203,0.562876140555232,0.5312803339157446,0.5242428654630169,0.9617486338797814,0.9890710382513661,0.9344262295081968,0.02459016393442623,0.9672131147540983,0.0
"(3, 'rotation_and_match')",0.5447607260726073,0.5301155115511551,0.5535478547854785,0.5534928492849285,0.5334708470847085,0.5727585258525852,0.6397277227722772,0.5846809680968097,0.5859048404840483,0.5019870737073707,0.5132150715071507,0.5772964796479647,0.6303836633663367,0.5225797579757976,0.5523996149614961,0.7201595159515952,0.558003300330033,0.6401265126512652,0.5735079757975796,0.5493949394939495,0.720785203520352,0.7194169416941694,0.5595847084708471,0.5619086908690869,0.9375,0.9943181818181818,0.8703703703703703,0.03278688524590164,1.0,0.00819672131147541
"(3, 'rotation_and_match_disturbance')",0.5300791108522617,0.5492986798679867,0.6651257037468452,0.6005023296447292,0.5366433702193749,0.5931129877693652,0.7308896330809551,0.6076247330615414,0.5831998641040574,0.6138735197049117,0.6548121723937099,0.5751189089497185,0.6172284507862551,0.6157663560473694,0.5290477577169482,0.7198662880993981,0.6232649000194137,0.6978499320520286,0.5650116482236458,0.5346534653465346,0.6698699281692875,0.682992380120365,0.5528174140943507,0.56012182100563,0.9344262295081968,0.9398907103825137,0.8688524590163934,0.03278688524590164,0.9180327868852459,0.04918032786885246
"(3, 'b_spline_disturbance')",0.6578698311007571,0.5544554455445544,0.8671010483401281,0.7304042904290429,0.8549796156086197,0.8605853232382061,0.7681154144826248,0.7445762958648806,0.7522689768976898,0.7299553484760241,0.6219059405940595,0.5782615026208503,0.6240475150456222,0.5792079207920792,0.5082265579499126,0.616985779460299,0.6234529702970297,0.6668244030285382,0.5687123859444767,0.5343561929722384,0.5142387400504757,0.5673716268685692,0.5249951465734808,0.5254986895748398,0.9562841530054644,0.9836065573770492,0.9344262295081968,0.03278688524590164,0.9672131147540983,0.00819672131147541
"(4, 'RAW')",0.99994455994456,0.9998891198891199,0.99994455994456,0.8678031878031878,0.8172141372141373,0.765959805959806,0.815966735966736,0.5353291753291753,0.5886347886347887,0.5124740124740125,0.5875537075537076,0.6078724878724878,0.5334026334026334,0.5430630630630631,0.5486347886347887,0.587969507969508,0.5086763686763687,0.6544144144144144,0.5284546084546085,0.5283298683298683,0.6765349965349965,0.5642134442134442,0.5487456687456687,0.5424809424809425,0.9824561403508771,0.9824561403508771,0.9636363636363636,0.0,0.9636363636363636,0.0
"(4, 'rotation_and_match')",0.5794669897032101,0.6320411871592975,0.6624066222491419,0.6014132848778518,0.6300423985463355,0.5522713506965475,0.8144558853220271,0.5209166161922067,0.5211185140318998,0.5670502725620836,0.6225116091257823,0.50557238037553,0.5464465980214012,0.5823339390268524,0.616394104583081,0.5740965071673734,0.5922269331718151,0.7766202301635372,0.544891984655764,0.5707046234605289,0.5182515647082575,0.5510397738744195,0.5613365636987684,0.5691701998788614,0.9629629629629629,0.9629629629629629,0.9605263157894737,0.03389830508474576,0.9736842105263158,0.05084745762711865
"(4, 'rotation_and_match_disturbance')",0.5616909216909217,0.6051559251559251,0.6667775467775467,0.6363686763686763,0.654885654885655,0.5547331947331948,0.8074012474012473,0.5330838530838531,0.5308385308385308,0.6181843381843382,0.6640609840609841,0.5228274428274429,0.5293416493416494,0.6286902286902287,0.6592376992376993,0.608094248094248,0.5086763686763687,0.7836174636174635,0.5265557865557865,0.5283298683298683,0.5367428967428967,0.5710048510048511,0.5175051975051975,0.5345114345114346,0.9210526315789473,0.9649122807017544,0.9090909090909091,0.06779661016949153,0.9454545454545454,0.01694915254237288
"(4, 'b_spline_disturbance')",0.7918780318780319,0.7463617463617463,0.8645599445599446,0.7655717255717256,0.815079695079695,0.7481358281358281,0.7139293139293139,0.5319750519750519,0.5933749133749133,0.6522245322245322,0.534026334026334,0.5938184338184339,0.5321690921690923,0.506029106029106,0.5500207900207901,0.5077477477477478,0.5084961884961885,0.6319057519057519,0.5281496881496881,0.5273458073458074,0.5875814275814275,0.5504365904365904,0.5468607068607069,0.5404712404712405,0.9912280701754386,0.9824561403508771,0.9818181818181818,0.0,0.9818181818181818,0.01694915254237288
